Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 0; 0; 0; 1; 0
0,0599999986588955; 0; 0; 0; 0; 0
0,109999999403954; 2; 1; 0; 0; 0
0,159999996423721; 0; 0; 1; 0; 0
0,209999993443489; 0; 0; 0; 0; 0
0,259999990463257; 0; 0; 0; 0; 0
0,310000002384186; 0; 0; 0; 0; 0
0,360000014305115; 0; 0; 0; 0; 0
0,409999996423721; 0; 0; 0; 0; 0
0,46000000834465; 0; 0; 0; 0; 0
0,509999990463257; 1; 0; 0; 3; 2
0,560000002384186; 3; 1; 2; 4; 2
0,610000014305115; 5; 3; 4; 5; 2
0,660000026226044; 2; 4; 3; 7; 7
0,709999978542328; 6; 5; 3; 2; 4
0,759999990463257; 1; 6; 3; 3; 5
0,810000002384186; 2; 3; 9; 3; 8
0,860000014305115; 1; 2; 22; 15; 9
