Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 0; 0; 0; 0; 0
0,0599999986588955; 0; 1; 0; 1; 0
0,109999999403954; 1; 1; 0; 1; 0
0,159999996423721; 0; 0; 1; 0; 0
0,209999993443489; 1; 0; 0; 0; 1
0,259999990463257; 1; 0; 0; 1; 1
0,310000002384186; 1; 0; 0; 1; 1
0,360000014305115; 1; 1; 1; 1; 1
0,409999996423721; 1; 0; 1; 0; 1
0,46000000834465; 0; 1; 0; 0; 0
0,509999990463257; 0; 1; 0; 1; 1
0,560000002384186; 1; 1; 1; 0; 1
0,610000014305115; 0; 1; 0; 0; 1
0,660000026226044; 1; 2; 0; 3; 1
0,709999978542328; 1; 2; 0; 0; 0
0,759999990463257; 0; 1; 3; 0; 1
0,810000002384186; 8; 0; 1; 0; 2
0,860000014305115; 3; 1; 8; 18; 5
